[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:41:05] bb 65
[11:41:06] bb 65
[11:41:07] ba 65
[11:41:08] ba 65
[11:41:09] b9 65
[11:41:10] b9 65
[11:41:11] b9 65
[11:41:12] b9 65
[11:41:13] b8 65
[11:41:14] b8 65
[11:41:15] b8 65
[11:41:16] b8 65
[11:41:17] b8 65
[11:41:18] b8 65
[11:41:19] b8 65
[11:41:20] b8 65
[11:41:21] b8 65
[11:41:22] b8 65
[11:41:23] b8 65
[11:41:24] b8 65
[11:41:25] b7 65
[11:41:26] b7 65
[11:41:27] b6 65
[11:41:28] b7 65
[11:41:29] b6 65
[11:41:30] b6 65
[11:41:31] b6 65
[11:41:32] b6 65
[11:41:33] b7 65
[11:41:34] b7 65
[11:41:35] b7 65
[11:41:36] b7 65
[11:41:37] b7 65
[11:41:38] b7 65
[11:41:39] b7 65
[11:41:40] b7 65
[11:41:41] b7 65
[11:41:42] b7 65
[11:41:43] b7 65
[11:41:44] b8 65
[11:41:45] b8 65
[11:41:46] b9 65
[11:41:47] ba 65
[11:41:48] ba 65
[11:41:49] ba 65
[11:41:50] ba 65
[11:41:51] ba 65
[11:41:52] bb 65
[11:41:53] bb 65
[11:41:54] ba 65
[11:41:55] ba 65
[11:41:56] ba 65
[11:41:57] bb 65
[11:41:58] bb 65
[11:41:59] bb 65
[11:42:00] ba 65
[11:42:01] ba 65
[11:42:02] ba 65
[11:42:03] ba 65
[11:42:04] ba 65
[11:42:05] ba 65
[11:42:06] ba 65
[11:42:07] bb 65
[11:42:08] bb 65
[11:42:09] bb 65
[11:42:10] ba 65
[11:42:11] ba 65
[11:42:12] bb 65
[11:42:13] bb 65
[11:42:14] bb 65
[11:42:15] bb 65
[11:42:16] bb 65
[11:42:17] bb 65
[11:42:18] ba 65
[11:42:19] ba 65
[11:42:20] bb 65
[11:42:21] ba 65
[11:42:22] ba 65
[11:42:23] ba 65
[11:42:24] ba 65
[11:42:25] ba 65
[11:42:26] ba 65
[11:42:27] ba 65
[11:42:28] ba 65
[11:42:29] ba 65
[11:42:30] ba 65
[11:42:31] ba 65
[11:42:32] b9 65
[11:42:33] b9 65
[11:42:34] b9 65
[11:42:35] b8 65
[11:42:36] b8 65
[11:42:37] b8 65
[11:42:38] b8 65
[11:42:39] b8 65
[11:42:40] b8 65
[11:42:41] b8 65
[11:42:42] b8 65
[11:42:43] b7 65
[11:42:44] b8 65
[11:42:45] b8 65
[11:42:46] b8 65
[11:42:47] b8 65
[11:42:48] b8 65
[11:42:49] b9 65
[11:42:50] b9 65
[11:42:51] b9 65
[11:42:52] b9 65
[11:42:53] b9 65
[11:42:54] b8 65
[11:42:55] b8 65
[11:42:56] b8 65
[11:42:57] b8 65
[11:42:58] b8 65
[11:42:59] b8 65
[11:43:00] b7 65
[11:43:01] b7 65
[11:43:02] b7 65
[11:43:03] b7 65
[11:43:04] b7 65
[11:43:05] b7 65
[11:43:06] b7 65
[11:43:07] b8 65
[11:43:08] b8 65
[11:43:09] b8 65
[11:43:10] b7 65
[11:43:11] b7 65
[11:43:12] b6 65
[11:43:13] b6 65
[11:43:14] b6 65
[11:43:15] b6 65
