[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 5e 1a 68 00 02 af 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 5d 1a 5e 00 02 b0 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 68 00 02 b1 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 80 79 1a 66 1a 67 00 02 b2 
[16:33:19] 00 5d 60 80 79 61 80 79 61 80 78 60 80 78 1a 69 1a 66 00 02 b3 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 80 79 1a 5f 1a 65 00 02 b4 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 5b 1a 58 00 02 b5 
[16:33:19] 00 5d 60 81 79 60 81 79 60 80 79 60 81 79 1a 53 1a 63 00 02 b6 
[16:33:20] 00 5d 61 81 79 60 81 79 60 81 79 60 81 79 1a 6b 1a 62 00 02 b7 
[16:33:20] 00 5d 60 81 79 60 81 79 60 81 79 60 80 79 1a 64 1a 59 00 02 b8 
[16:33:20] 00 60 60 80 79 60 81 79 60 81 79 60 81 79 1a 54 1a 54 00 01 b9 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 4b 1a 68 00 01 ba 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 62 00 01 bb 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 57 00 01 bc 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 53 1a 4a 00 01 bd 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 64 00 01 be 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 68 1a 67 00 01 bf 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 6b 00 01 c0 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 58 00 01 c1 
[16:33:20] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 4f 1a 53 00 01 c2 
[16:33:20] 00 60 60 81 7a 60 81 79 60 81 79 60 81 79 1a 59 1a 63 00 01 c3 
[16:33:21] 00 60 60 81 79 60 80 79 60 80 79 60 81 79 1a 66 1a 6a 00 01 c4 
[16:33:21] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 54 00 01 c5 
[16:33:21] 00 60 60 81 79 60 81 79 60 80 79 60 80 79 1a 5b 1a 57 00 01 c6 
[16:33:21] 00 60 60 81 79 60 81 79 60 81 79 60 81 79 1a 51 1a 60 00 01 c7 
[16:33:21] 00 63 60 80 79 60 80 79 60 81 79 60 81 79 1a 60 1a 5a 00 01 c8 
[16:33:21] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 5f 00 01 c9 
[16:33:21] 00 63 60 81 79 60 80 79 60 80 79 60 81 79 1a 5b 1a 5e 00 01 ca 
[16:33:21] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 53 00 01 cb 
[16:33:21] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 57 1a 50 00 01 cc 
[16:33:21] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 4e 1a 52 00 01 cd 
[16:33:21] 00 63 60 81 7a 60 81 79 60 81 79 60 81 79 1a 60 1a 66 00 01 ce 
[16:33:21] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 5a 00 01 cf 
